Project Name,Address,Area (sqm),Type of Area,Transacted Price ($),Unit Price ($ psm),Unit Price ($ psf),Contract Date,Property Type,Tenure,Type of Sale,Postal District,Postal Sector,Postal Code,Planning Region,Planning Area
OXLEY TOWER,138 Robinson Road  #02-18 ,13,Strata,918000,70615,6560,19-MAR-2018,Retail,Freehold,Resale,01,06,068906,Central Region,Downtown Core
N.A.,43/43A/43B/43C Hongkong Street ,153,Land,7000000,45812,4256,21-MAR-2018,Shop House,99 Yrs From 14/04/1949,Resale,01,05,059682,Central Region,Singapore River
TELOK AYER CONSERVATION AREA,77 Amoy Street ,258,Land,25000000,97050,9016,22-MAR-2018,Shop House,999 Yrs From 01/10/1827,Resale,01,06,069896,Central Region,Outram
PEOPLE'S PARK CENTRE,101 Upper Cross Street  #B1-17D ,44,Strata,1000000,22727,2111,26-MAR-2018,Retail,99 Yrs From 02/06/1970,Resale,01,05,058357,Central Region,Outram
THE RIVERSIDE PIAZZA,11 Keng Cheow Street  #01-10 ,132,Strata,2060450,15609,1450,27-MAR-2018,Retail,99 Yrs From 02/10/1992,Resale,01,05,059608,Central Region,Singapore River
THE RIVERSIDE PIAZZA,11 Keng Cheow Street  #01-09 ,168,Strata,2621600,15605,1450,27-MAR-2018,Retail,99 Yrs From 02/10/1992,Resale,01,05,059608,Central Region,Singapore River
PEOPLE'S PARK COMPLEX,1 Park Road  #02-69 ,29,Strata,1080000,37241,3460,29-MAR-2018,Retail,99 Yrs From 25/03/1968,Resale,01,05,059108,Central Region,Outram
FOOK HAI BUILDING,150 South Bridge Road  #03-05 ,18,Strata,308000,17111,1590,09-APR-2018,Retail,99 Yrs From 18/01/1972,Resale,01,05,058727,Central Region,Outram
N.A.,9 Trengganu Street ,100,Land,10000000,100000,9290,03-MAY-2018,Shop House,Freehold,Resale,01,05,058463,Central Region,Outram
N.A.,6 Hongkong Street ,164,Land,13750000,83688,7775,30-MAY-2018,Shop House,Freehold,Resale,01,05,059649,Central Region,Singapore River
BOAT QUAY CONSERVATION AREA,52 Boat Quay ,104,Land,21350000,205288,19072,04-JUN-2018,Shop House,999 Yrs From 20/04/1826,Resale,01,04,049841,Central Region,Singapore River
N.A.,9 Hongkong Street ,157,Land,18800000,119669,11118,22-JUN-2018,Shop House,99 Yrs From 11/07/2011,Resale,01,05,059652,Central Region,Singapore River
KRETA AYER CONSERVATION AREA,6 Mosque Street ,119,Land,7300000,61139,5680,28-JUN-2018,Shop House,Freehold,Resale,01,05,059486,Central Region,Outram
PEOPLE'S PARK COMPLEX,1 Park Road  #01-34 ,42,Strata,2625000,62500,5806,25-JUL-2018,Retail,99 Yrs From 25/03/1968,Resale,01,05,059108,Central Region,Outram
TELOK AYER CONSERVATION AREA,64 Club Street ,209,Land,21800000,104306,9690,03-AUG-2018,Shop House,999 Yrs From 01/10/1827,Resale,01,06,069438,Central Region,Outram
TELOK AYER CONSERVATION AREA,96 Amoy Street ,193,Land,15688000,81117,7536,20-AUG-2018,Shop House,999 Yrs From 01/10/1827,Resale,01,06,069916,Central Region,Outram
THE ARCADE,11 Collyer Quay  #01-20 ,16,Strata,2600000,162500,15097,04-SEP-2018,Retail,99 Yrs From 01/10/1979,Resale,01,04,049317,Central Region,Downtown Core
FOOK HAI BUILDING,150 South Bridge Road  #01-17 ,60,Strata,2500000,41667,3871,18-SEP-2018,Retail,99 Yrs From 18/01/1972,Resale,01,05,058727,Central Region,Outram
N.A.,21 Boon Tat Street ,163,Land,16500000,100979,9381,20-SEP-2018,Shop House,999 Yrs From 01/11/1884,Resale,01,06,069620,Central Region,Outram
BOAT QUAY CONSERVATION AREA,14 Circular Road ,100,Land,8800000,87824,8159,03-OCT-2018,Shop House,999 Yrs From 28/06/1826,Resale,01,04,049370,Central Region,Singapore River
N.A.,22 Ann Siang Road ,145,Land,15000000,103377,9604,05-OCT-2018,Shop House,999 Yrs From 01/10/1827,Resale,01,06,069702,Central Region,Outram
N.A.,28/28A/28B/28C Hongkong Street ,168,Land,9000000,53571,4977,08-OCT-2018,Shop House,99 Yrs From 01/01/1951,Resale,01,05,059667,Central Region,Singapore River
TELOK AYER CONSERVATION AREA,10 Stanley Street ,133,Land,12500000,94340,8764,16-OCT-2018,Shop House,Freehold,Resale,01,06,068729,Central Region,Outram
BOAT QUAY CONSERVATION AREA,60/60A/60B Boat Quay ,90,Land,8500000,94866,8813,07-NOV-2018,Shop House,999 Yrs From 28/06/1826,Resale,01,04,049848,Central Region,Singapore River
BOAT QUAY CONSERVATION AREA,63 Boat Quay ,90,Land,10900000,121516,11289,23-NOV-2018,Shop House,999 Yrs From 28/06/1826,Resale,01,04,049851,Central Region,Singapore River
BOAT QUAY CONSERVATION AREA,49/49A/49B South Bridge Road ,132,Land,13800000,104784,9735,10-DEC-2018,Shop House,999 Yrs From 10/08/1831,Resale,01,05,058681,Central Region,Singapore River
ROBINSON SQUARE,144 Robinson Road  #19-02 ,110,Strata,2475000,22500,2090,03-JAN-2019,Retail,Freehold,Resale,01,06,068908,Central Region,Downtown Core
TELOK AYER CONSERVATION AREA,87 Club Street ,185,Land,17200000,93074,8647,25-JAN-2019,Shop House,999 Yrs From 01/10/1827,Resale,01,06,069455,Central Region,Outram
FURAMA CITY CENTRE SINGAPORE,60 Eu Tong Sen Street  #01-24 ,38,Strata,700000,18421,1711,20-FEB-2019,Retail,99 Yrs From 19/10/1979,Resale,01,05,059804,Central Region,Outram
N.A.,29 Stanley Street ,157,Land,22099999,140496,13052,21-FEB-2019,Shop House,99 Yrs From 17/12/1990,Resale,01,06,068738,Central Region,Outram
N.A.,13/13A/13B Upper Circular Road ,163,Land,6000000,36855,3424,28-FEB-2019,Shop House,99 Yrs From 01/05/1941,Resale,01,05,058411,Central Region,Singapore River
SHENTON HOUSE,3 Shenton Way  #02-06 ,99,Strata,1700000,17172,1595,06-MAY-2019,Retail,99 Yrs From 02/06/1969,Resale,01,06,068805,Central Region,Downtown Core
FURAMA CITY CENTRE SINGAPORE,60 Eu Tong Sen Street  #01-11 ,40,Strata,925000,23125,2148,17-MAY-2019,Retail,99 Yrs From 19/10/1979,Resale,01,05,059804,Central Region,Outram
HAVELOCK2,2 Havelock Road  #B1-01 ,61,Strata,1499000,24574,2283,23-MAY-2019,Retail,99 Yrs From 04/05/1983,Resale,01,05,059763,Central Region,Singapore River
BOAT QUAY CONSERVATION AREA,47 South Bridge Road ,135,Land,7450000,55022,5112,24-MAY-2019,Shop House,999 Yrs From 10/08/1831,Resale,01,05,058680,Central Region,Singapore River
BOAT QUAY CONSERVATION AREA,64 Boat Quay ,97,Land,9300000,95975,8916,16-APR-2015,Shop House,999 Yrs From 28/06/1826,Resale,01,04,049852,Central Region,Singapore River
PEOPLE'S PARK CENTRE,101 Upper Cross Street  #B1-03 ,42,Strata,1050000,25000,2323,12-MAY-2015,Retail,99 Yrs From 02/06/1970,Resale,01,05,058357,Central Region,Outram
PEOPLE'S PARK CENTRE,101 Upper Cross Street  #B1-17F ,35,Strata,700000,20000,1858,14-MAY-2015,Retail,99 Yrs From 02/06/1970,Resale,01,05,058357,Central Region,Outram
PEOPLE'S PARK COMPLEX,1 Park Road  #01-81 ,30,Strata,1780000,59333,5512,19-JUN-2015,Retail,99 Yrs From 25/03/1968,Resale,01,05,059108,Central Region,Outram
N.A.,37 North Canal Road ,161,Land,18000000,112010,10406,30-JUN-2015,Shop House,99 Yrs From 30/05/2014,Resale,01,05,059293,Central Region,Singapore River
THE ARCADE,11 Collyer Quay  #01-24 ,35,Strata,2850000,81429,7565,20-JUL-2015,Retail,99 Yrs From 01/10/1979,Resale,01,04,049317,Central Region,Downtown Core
N.A.,31 Hongkong Street ,162,Land,14450000,89033,8271,21-JUL-2015,Shop House,99 Yrs From 28/12/2007,Resale,01,05,059670,Central Region,Singapore River
PEOPLE'S PARK CENTRE,101 Upper Cross Street  #B1-36 ,36,Strata,768000,21333,1982,24-JUL-2015,Retail,99 Yrs From 02/06/1970,Resale,01,05,058357,Central Region,Outram
HAVELOCK2,2 Havelock Road  #B1-24 ,28,Strata,1525800,54493,5063,12-AUG-2015,Retail,99 Yrs From 04/05/1983,New Sale,01,05,059763,Central Region,Singapore River
HAVELOCK2,2 Havelock Road  #B1-16 ,19,Strata,888000,46737,4342,02-SEP-2015,Retail,99 Yrs From 04/05/1983,New Sale,01,05,059763,Central Region,Singapore River
TELOK AYER CONSERVATION AREA,15 Stanley Street ,142,Land,8800000,61841,5745,04-SEP-2015,Shop House,Freehold,Resale,01,06,068734,Central Region,Outram
KRETA AYER CONSERVATION AREA,31 Pagoda Street ,122,Land,9500000,78061,7252,07-SEP-2015,Shop House,Freehold,Resale,01,05,059190,Central Region,Outram
FURAMA CITY CENTRE SINGAPORE,60 Eu Tong Sen Street  #01-24 ,38,Strata,636000,16737,1555,22-SEP-2015,Retail,99 Yrs From 19/10/1979,Resale,01,05,059804,Central Region,Outram
HAVELOCK2,2 Havelock Road  #02-03 ,687,Strata,15417000,22441,2085,01-OCT-2015,Retail,99 Yrs From 04/05/1983,New Sale,01,05,059763,Central Region,Singapore River
HAVELOCK2,2 Havelock Road  #B1-19 ,615,Strata,14583000,23712,2203,01-OCT-2015,Retail,99 Yrs From 04/05/1983,New Sale,01,05,059763,Central Region,Singapore River
TELOK AYER CONSERVATION AREA,1 Ann Siang Hill ,58,Land,3168000,54527,5066,07-OCT-2015,Shop House,999 Yrs From 01/10/1827,Resale,01,06,069784,Central Region,Outram
KRETA AYER CONSERVATION AREA,72 Smith Street ,104,Land,4500000,43228,4016,16-OCT-2015,Shop House,200 Yrs From 29/07/1872,Resale,01,05,058969,Central Region,Outram
TELOK AYER CONSERVATION AREA,122 Telok Ayer Street ,106,Land,7700000,72848,6768,20-OCT-2015,Shop House,199 Yrs From 30/06/2003,Resale,01,06,068591,Central Region,Outram
TELOK AYER CONSERVATION AREA,120 Telok Ayer Street ,109,Land,10500000,96242,8941,20-OCT-2015,Shop House,999 Yrs From 11/06/1827,Resale,01,06,068589,Central Region,Outram
OXLEY TOWER,138 Robinson Road  #03-35 ,18,Strata,950000,52778,4903,17-NOV-2015,Retail,Freehold,Sub Sale,01,06,068906,Central Region,Downtown Core
N.A.,11/13 Club Street ,118,Land,8000000,67682,6288,23-NOV-2015,Shop House,99 Yrs From 12/01/1996,Resale,01,06,069405,Central Region,Outram
THE ARCADE,11 Collyer Quay  #01-18 ,4,Strata,1400000,350000,32516,09-DEC-2015,Retail,99 Yrs From 01/10/1979,Resale,01,04,049317,Central Region,Downtown Core
PEOPLE'S PARK COMPLEX,1 Park Road  #02-K90 ,18,Strata,2080000,115556,10735,26-FEB-2016,Retail,99 Yrs From 25/03/1968,Resale,01,05,059108,Central Region,Outram
OXLEY TOWER,138 Robinson Road  #02-09 ,17,Strata,880000,51765,4809,22-MAR-2016,Retail,Freehold,New Sale,01,06,068906,Central Region,Downtown Core
TELOK AYER CONSERVATION AREA,83 Amoy Street ,260,Land,20250000,77975,7244,28-MAR-2016,Shop House,999 Yrs From 01/10/1827,Resale,01,06,069902,Central Region,Outram
N.A.,18/18A/18B Gemmill Lane ,147,Land,11000000,74881,6957,28-APR-2016,Shop House,99 Yrs From 15/01/1996,Resale,01,06,069255,Central Region,Outram
FURAMA CITY CENTRE SINGAPORE,60 Eu Tong Sen Street  #01-12 ,36,Strata,890000,24722,2297,29-APR-2016,Retail,99 Yrs From 19/10/1979,Resale,01,05,059804,Central Region,Outram
N.A.,9 Ann Siang Road ,104,Land,10800000,103647,9629,05-MAY-2016,Shop House,999 Yrs From 01/10/1827,Resale,01,06,069690,Central Region,Outram
KRETA AYER CONSERVATION AREA,32 Upper Cross Street ,111,Land,7500000,67812,6300,17-MAY-2016,Shop House,Freehold,Resale,01,05,058339,Central Region,Outram
SHENTON HOUSE,3 Shenton Way  #02-12 ,66,Strata,1440000,21818,2027,24-MAY-2016,Retail,99 Yrs From 02/06/1969,Resale,01,06,068805,Central Region,Downtown Core
TELOK AYER CONSERVATION AREA,10 Stanley Street ,133,Land,9280000,70038,6507,01-JUN-2016,Shop House,Freehold,Resale,01,06,068729,Central Region,Outram
ROBINSON SQUARE,144 Robinson Road  #20-01 ,224,Strata,3900000,17411,1617,21-JUN-2016,Retail,Freehold,Resale,01,06,068908,Central Region,Downtown Core
N.A.,7 Erskine Road ,109,Land,4250000,38991,3622,13-JUL-2016,Shop House,999 Yrs From 01/10/1827,Resale,01,06,069320,Central Region,Outram
FURAMA CITY CENTRE SINGAPORE,60 Eu Tong Sen Street  #03-04 ,28,Strata,370000,13214,1228,26-JUL-2016,Retail,99 Yrs From 19/10/1979,Resale,01,05,059804,Central Region,Outram
SHENTON HOUSE,3 Shenton Way  #01-04 ,616,Strata,11388000,18487,1717,08-AUG-2016,Retail,99 Yrs From 02/06/1969,Resale,01,06,068805,Central Region,Downtown Core
TELOK AYER CONSERVATION AREA,30 Stanley Street ,157,Land,8200000,52196,4849,08-AUG-2016,Shop House,Freehold,Resale,01,06,068739,Central Region,Outram
BOAT QUAY CONSERVATION AREA,18 Circular Road ,89,Land,7200000,80990,7524,10-AUG-2016,Shop House,999 Yrs From 28/06/1826,Resale,01,04,049374,Central Region,Singapore River
THE ARCADE,11 Collyer Quay  #01-33 ,27,Strata,2450000,90741,8430,15-AUG-2016,Retail,99 Yrs From 01/10/1979,Resale,01,04,049317,Central Region,Downtown Core
BOAT QUAY CONSERVATION AREA,60/60A/60B Boat Quay ,90,Land,7333000,81842,7603,18-AUG-2016,Shop House,999 Yrs From 28/06/1826,Resale,01,04,049848,Central Region,Singapore River
N.A.,205/207 New Bridge Road ,161,Land,20500000,127646,11859,01-SEP-2016,Shop House,99 Yrs From 19/01/1995,Resale,01,05,059430,Central Region,Outram
KRETA AYER CONSERVATION AREA,16 Smith Street ,100,Land,8800000,88353,8208,09-SEP-2016,Shop House,Freehold,Resale,01,05,058930,Central Region,Outram
TELOK AYER CONSERVATION AREA,53/53A Amoy Street ,79,Land,4950000,62343,5792,03-OCT-2016,Shop House,999 Yrs From 25/07/1833,Resale,01,06,069879,Central Region,Outram
TELOK AYER CONSERVATION AREA,54/54A Amoy Street ,77,Land,4950000,64621,6003,03-OCT-2016,Shop House,999 Yrs From 25/07/1833,Resale,01,06,069880,Central Region,Outram
TELOK AYER CONSERVATION AREA,25 Boon Tat Street ,165,Land,19000000,115291,10711,07-OCT-2016,Shop House,999 Yrs From 01/11/1884,Resale,01,06,069622,Central Region,Outram
OXLEY TOWER,138 Robinson Road  #02-35 ,14,Strata,1080000,77143,7167,17-OCT-2016,Retail,Freehold,Sub Sale,01,06,068906,Central Region,Downtown Core
BOAT QUAY CONSERVATION AREA,54 Boat Quay ,126,Land,12900000,102138,9489,27-OCT-2016,Shop House,999 Yrs From 20/04/1826,Resale,01,04,049843,Central Region,Singapore River
BOAT QUAY CONSERVATION AREA,53 Boat Quay ,128,Land,13000000,101563,9435,02-NOV-2016,Shop House,999 Yrs From 20/04/1826,Resale,01,04,049842,Central Region,Singapore River
N.A.,45 Hongkong Street ,154,Land,13000000,84306,7832,05-NOV-2016,Shop House,99 Yrs From 07/10/2009,Resale,01,05,059683,Central Region,Singapore River
TELOK AYER CONSERVATION AREA,49/49A Amoy Street ,93,Land,6458888,69600,6466,29-DEC-2016,Shop House,999 Yrs From 21/06/1833,Resale,01,06,069875,Central Region,Outram
PEOPLE'S PARK COMPLEX,1 Park Road  #02-119 ,22,Strata,980000,44545,4138,06-JAN-2017,Retail,99 Yrs From 25/03/1968,Resale,01,05,059108,Central Region,Outram
TELOK AYER CONSERVATION AREA,97 Amoy Street ,189,Land,12800000,67689,6288,13-JAN-2017,Shop House,999 Yrs From 01/10/1827,Resale,01,06,069917,Central Region,Outram
KRETA AYER CONSERVATION AREA,26-26B/28-28B Temple Street ,247,Land,18501000,74903,6959,28-FEB-2017,Shop House,200 Yrs From 12/08/1872,Resale,01,05,058571,Central Region,Outram
BOAT QUAY CONSERVATION AREA,79 South Bridge Road ,148,Land,10380000,70040,6507,01-MAR-2017,Shop House,999 Yrs From 10/08/1831,Resale,01,05,058709,Central Region,Singapore River
PEOPLE'S PARK COMPLEX,1 Park Road  #01-22 ,45,Strata,3800000,84444,7845,03-MAR-2017,Retail,99 Yrs From 25/03/1968,Resale,01,05,059108,Central Region,Outram
TELOK AYER CONSERVATION AREA,8 Stanley Street ,129,Land,12300000,95423,8865,23-MAR-2017,Shop House,Freehold,Resale,01,06,068727,Central Region,Outram
OXLEY TOWER,138 Robinson Road  #02-03 ,18,Strata,1250000,69444,6452,27-MAR-2017,Retail,Freehold,Resale,01,06,068906,Central Region,Downtown Core
N.A.,86 Club Street ,91,Land,6200000,67834,6302,28-MAR-2017,Shop House,999 Yrs From 01/10/1827,Resale,01,06,069454,Central Region,Outram
TELOK AYER CONSERVATION AREA,263 South Bridge Road ,139,Land,7808888,56301,5230,10-APR-2017,Shop House,999 Yrs From 01/10/1823,Resale,01,05,058812,Central Region,Outram
N.A.,44/44A/45/45A/46/46A Amoy Street ,246,Land,12800000,52075,4838,12-APR-2017,Shop House,999 Yrs From 15/09/1832,Resale,01,06,069870,Central Region,Outram
N.A.,28/30/32 Ann Siang Road ,675,Land,52000000,77037,7157,28-APR-2017,Shop House,999 Yrs From 01/10/1827,Resale,01,06,069708,Central Region,Outram
SHENTON HOUSE,3 Shenton Way  #02-06 ,99,Strata,1210000,12222,1135,11-MAY-2017,Retail,99 Yrs From 02/06/1969,Resale,01,06,068805,Central Region,Downtown Core
N.A.,198 South Bridge Road ,195,Land,11800000,60420,5613,12-MAY-2017,Shop House,999 Yrs From 01/10/1877,Resale,01,05,058747,Central Region,Outram
FURAMA CITY CENTRE SINGAPORE,60 Eu Tong Sen Street  #01-11 ,40,Strata,860000,21500,1997,18-MAY-2017,Retail,99 Yrs From 19/10/1979,Resale,01,05,059804,Central Region,Outram
N.A.,84/84A/84B Amoy Street ,254,Land,17000000,67035,6228,19-MAY-2017,Shop House,999 Yrs From 01/10/1827,Resale,01,06,069903,Central Region,Outram
OXLEY TOWER,138 Robinson Road  #02-30 ,18,Strata,1239888,68883,6399,25-MAR-2014,Retail,Freehold,Sub Sale,01,06,068906,Central Region,Downtown Core
PEOPLE'S PARK CENTRE,101 Upper Cross Street  #03-37 ,31,Strata,790000,25484,2368,01-APR-2014,Retail,99 Yrs From 02/06/1970,Resale,01,05,058357,Central Region,Outram
TELOK AYER CONSERVATION AREA,4/5 Stanley Street ,251,Land,16000000,63745,5922,10-APR-2014,Shop House,Freehold,Resale,01,06,068723,Central Region,Outram
CHINATOWN POINT,133 New Bridge Road  #18-09/10 ,223,Strata,3600000,16143,1500,22-APR-2014,Retail,99 Yrs From 12/11/1980,Resale,01,05,059413,Central Region,Outram
PEOPLE'S PARK CENTRE,101 Upper Cross Street  #03-65 ,36,Strata,863300,23981,2228,22-APR-2014,Retail,99 Yrs From 02/06/1970,Resale,01,05,058357,Central Region,Outram
OXLEY TOWER,138 Robinson Road  #03-16 ,17,Strata,1100000,64706,6011,12-MAY-2014,Retail,Freehold,Sub Sale,01,06,068906,Central Region,Downtown Core
OXLEY TOWER,138 Robinson Road  #03-61 ,13,Strata,870000,66923,6217,22-MAY-2014,Retail,Freehold,Sub Sale,01,06,068906,Central Region,Downtown Core
